clave_ciudad_preciospromedio,ciudad_inegi_anexoF,ponderador_2024
01,Área Metropolitana de la Cd. de México,22.4293
02,Mérida,1.8707
03,Morelia,1.8868
04,Guadalajara,6.4169
05,Monterrey,5.4385
06,Mexicali,1.9436
07,Ciudad Juárez,1.4941
08,Acapulco,1.0068
09,Culiacán,2.5171
10,León,2.2238
11,Puebla,3.1953
12,San Luis Potosí,2.0448
13,Tapachula,0.7187
14,Toluca,2.4083
15,Torreón,1.0449
16,Veracruz,2.9928
17,Villahermosa,1.4097
18,Tampico,1.3739
19,Chihuahua,1.4568
20,Hermosillo,1.6715
21,Monclova,0.4687
22,Córdoba,0.8185
23,Aguascalientes,1.2697
24,Tijuana,2.3328
25,Matamoros,1.3834
26,Colima,0.8009
27,La Paz,0.8341
28,Chetumal,0.6777
29,Jacona,1.6969
30,Fresnillo,0.3313
31,Iguala,0.6873
32,Huatabampo,0.2307
33,Tulancingo,0.3036
34,Cortazar,1.9352
35,Cd. Jiménez,0.2565
36,Durango,1.0257
37,Tepic,1.0393
38,Oaxaca,1.8077
39,Querétaro,2.104
40,Cuernavaca,1.3313
41,Tlaxcala,0.7337
42,San Andrés Tuxtla,0.3875
43,Campeche,0.6859
44,Tepatitlán,0.9383
45,Tehuantepec,0.504
46,Cd. Acuña,0.5006
47,Atlacomulco,0.6994
48,Cancún,1.286
49,Coatzacoalcos,1.0045
50,Esperanza,0.5888
51,Izúcar de Matamoros,0.5616
52,Pachuca,1.6621
53,Saltillo,1.1017
54,Tuxtla Gutiérrez,1.8408
55,Zacatecas,0.6255
