clave_generico,generico,serie_inegi_mensual,serie_inegi_quincenal,codigo_precios_promedio,ponderacion_2024,factor_encadenamiento
045,Aguacate,865670,821992,045,0.21233,1.83184
046,Durazno,865671,821993,046,0.01252,1.39101
047,Guayaba,865672,821994,047,0.05979,2.24891
048,Limón,865673,821995,048,0.09811,1.95802
049,Manzana,865674,821996,049,0.20661,1.19762
050,Melón,865675,821997,050,0.04914,1.69822
051,Naranja,865676,821998,051,0.18754,2.37162
052,Papaya,865677,821999,052,0.08669,1.47836
053,Pera,865678,822000,053,0.02823,1.36591
054,Piña,865679,822001,054,0.05882,2.06403
055,Plátanos,865680,822002,055,0.26339,2.07182
056,Sandía,865681,822003,056,0.03854,1.64815
057,Uva,865682,822004,057,0.05485,1.25864
059,Otras frutas,865683,822005,059,0.24365,1.81012
060,Calabacita,865688,822010,060,0.14162,2.14717
061,Cebolla,865689,822011,061,0.23989,1.92786
062,Chayote,865690,822012,062,0.12921,4.23261
063,Chile poblano,865691,822013,063,0.05098,2.19559
065,Chile serrano,865692,822014,065,0.09281,1.75203
067,Ejotes,865693,822015,067,0.03272,1.88975
070,Jitomate,865694,822016,070,0.78920,2.40548
071,Lechuga y col,865695,822017,071,0.14443,2.07457
072,Nopales,865696,822018,072,0.07245,1.65816
073,Papa y otros tubérculos,865697,822019,073,0.32126,1.16820
075,Pepino,865698,822020,075,0.05720,1.59822
076,Tomate verde,865699,822021,076,0.14490,1.31714
078,Zanahoria,865700,822022,078,0.11700,1.83433
080,Otras verduras y legumbres,865701,822023,080,0.25944,2.00690
081,Otros chiles frescos,865702,822024,081,0.09099,1.80388
087,"Cilantro, epazote y perejil",865703,822025,087,0.03446,1.88088
064,Chile seco,865705,822027,064,0.04912,1.40963
068,Frijol,865706,822028,068,0.41099,1.74397
