modulo,producto_id,producto_sniim,categoria,categoria_label,grupo
frutas,130,Aguacate Criollo - Primera,aguacate,Aguacate,frutas
frutas,131,Aguacate Fuerte - Primera,aguacate,Aguacate,frutas
frutas,136,Aguacate Hass - Calidad extra,aguacate,Aguacate,frutas
frutas,137,Aguacate Hass - Calidad super extra,aguacate,Aguacate,frutas
frutas,133,Aguacate Hass - Primera,aguacate,Aguacate,frutas
frutas,135,Aguacate Hass adelantado - Primera,aguacate,Aguacate,frutas
frutas,138,Aguacate Hass flor vieja - Primera,aguacate,Aguacate,frutas
frutas,139,Aguacate Pagua - Primera,aguacate,Aguacate,frutas
frutas,166,Calabacita Criolla - Primera,calabacita,Calabacita,verduras
frutas,170,Calabacita Italiana - Primera,calabacita,Calabacita,verduras
frutas,180,Calabacita regional - Primera,calabacita,Calabacita,verduras
frutas,183,Cebolla Bola - Primera,cebolla,Cebolla,verduras
frutas,182,Cebolla Bola grande - Primera,cebolla,Cebolla,verduras
frutas,187,Cebolla Morada - Primera,cebolla,Cebolla,verduras
frutas,190,Cebolla de rabo - Primera,cebolla,Cebolla,verduras
frutas,275,Chayote - Primera,chayote,Chayote,verduras
frutas,272,Chayote sin espinas - Primera,chayote,Chayote,verduras
frutas,242,Chile Poblano - Primera,chile_poblano,Chile poblano,verduras
frutas,228,Chile Guajillo - Primera,chile_seco,Chile seco,verduras
frutas,236,Chile Mirasol - Primera,chile_seco,Chile seco,verduras
frutas,237,Chile Pasilla - Primera,chile_seco,Chile seco,verduras
frutas,245,Chile Puya seco - Primera,chile_seco,Chile seco,verduras
frutas,216,Chile ancho - Primera,chile_seco,Chile seco,verduras
frutas,217,Chile de Árbol seco - Primera,chile_seco,Chile seco,verduras
frutas,246,Chile Serrano - Primera,chile_serrano,Chile serrano,verduras
frutas,208,Cilantro - Primera,cilantro_epazote_perejil,"Cilantro, epazote y perejil",verduras
frutas,312,Epazote - Primera,cilantro_epazote_perejil,"Cilantro, epazote y perejil",verduras
frutas,635,Perejil - Primera,cilantro_epazote_perejil,"Cilantro, epazote y perejil",verduras
frutas,290,Durazno Amarillo - Primera,durazno,Durazno,frutas
frutas,294,Durazno Melocotón - Primera,durazno,Durazno,frutas
frutas,297,Durazno Prisco - Primera,durazno,Durazno,frutas
frutas,302,Ejote - Primera,ejotes,Ejotes,verduras
frutas,299,Ejote largo - Primera,ejotes,Ejotes,verduras
frutas,304,Ejote redondo - Primera,ejotes,Ejotes,verduras
frutas,181,Cacahuate - Primera,excluido,excluido,
frutas,389,Jamaica - Primera,excluido,excluido,
frutas,565,Nuez - Primera,excluido,excluido,
frutas,566,Nuez - Western - Primera,excluido,excluido,
frutas,567,Nuez Wichita - Primera,excluido,excluido,
frutas,563,Nuez cáscara de papel - Primera,excluido,excluido,
frutas,607,Orégano - Primera,excluido,excluido,
frutas,655,Pistache - Primera,excluido,excluido,
frutas,876,Yerbabuena - Primera,excluido,excluido,
frutas,378,Guayaba - Primera,guayaba,Guayaba,frutas
frutas,836,Tomate Bola - Primera,jitomate,Jitomate,verduras
frutas,839,Tomate Saladette - Primera,jitomate,Jitomate,verduras
frutas,253,Col grande - Primera,lechuga_y_col,Lechuga y col,verduras
frutas,257,Col mediana - Primera,lechuga_y_col,Lechuga y col,verduras
frutas,265,Col sin clasificación - Primera,lechuga_y_col,Lechuga y col,verduras
frutas,401,Lechuga Orejona grande - Primera,lechuga_y_col,Lechuga y col,verduras
frutas,403,Lechuga Orejona sin clasificación - Primera,lechuga_y_col,Lechuga y col,verduras
frutas,405,Lechuga Romanita grande - Primera,lechuga_y_col,Lechuga y col,verduras
frutas,407,Lechuga Romanita mediana - Primera,lechuga_y_col,Lechuga y col,verduras
frutas,409,Lechuga Romanita sin clasificación - Primera,lechuga_y_col,Lechuga y col,verduras
frutas,417,Limón c/semilla # 2 - Primera,limon,Limón,frutas
frutas,418,Limón c/semilla # 3 - Primera,limon,Limón,frutas
frutas,419,Limón c/semilla # 4 - Primera,limon,Limón,frutas
frutas,421,Limón c/semilla # 5 - Primera,limon,Limón,frutas
frutas,423,Limón c/semilla sin clasificación - Primera,limon,Limón,frutas
frutas,426,Limón s/semilla - Primera,limon,Limón,frutas
frutas,519,Manzana Golden Delicious - Primera,manzana,Manzana,frutas
frutas,522,Manzana Red Delicious - Primera,manzana,Manzana,frutas
frutas,526,Manzana Starking - Primera,manzana,Manzana,frutas
frutas,501,Melon Cantaloupe # 14 - Primera,melon,Melón,frutas
frutas,510,Melon Cantaloupe # 36 - Primera,melon,Melón,frutas
frutas,500,Melón Cantaloupe # 12 - Primera,melon,Melón,frutas
frutas,502,Melón Cantaloupe # 15 - Primera,melon,Melón,frutas
frutas,503,Melón Cantaloupe # 16 - Primera,melon,Melón,frutas
frutas,505,Melón Cantaloupe # 18 - Primera,melon,Melón,frutas
frutas,506,Melón Cantaloupe # 22 - Primera,melon,Melón,frutas
frutas,507,Melón Cantaloupe # 23 - Primera,melon,Melón,frutas
frutas,508,Melón Cantaloupe # 27 - Primera,melon,Melón,frutas
frutas,512,Melón Cantaloupe # 45 - Primera,melon,Melón,frutas
frutas,513,Melón Cantaloupe # 48 - Primera,melon,Melón,frutas
frutas,499,Melón Cantaloupe # 9 - Primera,melon,Melón,frutas
frutas,516,Melón Cantaloupe sin clasificación - Primera,melon,Melón,frutas
frutas,534,Naranja Agria - Primera,naranja,Naranja,frutas
frutas,536,Naranja March chica - Primera,naranja,Naranja,frutas
frutas,537,Naranja March grande - Primera,naranja,Naranja,frutas
frutas,538,Naranja March mediana - Primera,naranja,Naranja,frutas
frutas,546,Naranja Valencia chica - Primera,naranja,Naranja,frutas
frutas,549,Naranja Valencia grande - Primera,naranja,Naranja,frutas
frutas,551,Naranja Valencia mediana - Primera,naranja,Naranja,frutas
frutas,560,Nopal - Primera,nopales,Nopales,verduras
frutas,556,Nopal grande - Primera,nopales,Nopales,verduras
frutas,178,Caña - Primera,otras_frutas,Otras frutas,frutas
frutas,196,Ciruela Amarilla - Primera,otras_frutas,Otras frutas,frutas
frutas,197,Ciruela Claudia - Primera,otras_frutas,Otras frutas,frutas
frutas,200,Ciruela Moscatel - Primera,otras_frutas,Otras frutas,frutas
frutas,201,Ciruela Negra - Primera,otras_frutas,Otras frutas,frutas
frutas,207,Ciruela Roja - Primera,otras_frutas,Otras frutas,frutas
frutas,198,Ciruela huesuda Amarilla - Primera,otras_frutas,Otras frutas,frutas
frutas,199,Ciruela huesuda Roja - Primera,otras_frutas,Otras frutas,frutas
frutas,203,Ciruela pasa - Primera,otras_frutas,Otras frutas,frutas
frutas,250,Coco - Primera,otras_frutas,Otras frutas,frutas
frutas,358,Fresa - Primera,otras_frutas,Otras frutas,frutas
frutas,356,Fresa Chandler - Primera,otras_frutas,Otras frutas,frutas
frutas,372,Granada China - Primera,otras_frutas,Otras frutas,frutas
frutas,373,Granada Roja - Primera,otras_frutas,Otras frutas,frutas
frutas,374,Guanabana - Primera,otras_frutas,Otras frutas,frutas
frutas,399,Kiwi - Primera,otras_frutas,Otras frutas,frutas
frutas,413,Lima - Primera,otras_frutas,Otras frutas,frutas
frutas,429,Mamey - Primera,otras_frutas,Otras frutas,frutas
frutas,451,Mandarina - Primera,otras_frutas,Otras frutas,frutas
frutas,447,Mandarina Mónica - Primera,otras_frutas,Otras frutas,frutas
frutas,455,Mandarina Reyna - Primera,otras_frutas,Otras frutas,frutas
frutas,459,Mandarina Tangerina - Primera,otras_frutas,Otras frutas,frutas
frutas,465,Mango Ataulfo - Primera,otras_frutas,Otras frutas,frutas
frutas,469,Mango Criollo - Primera,otras_frutas,Otras frutas,frutas
frutas,473,Mango Haden - Primera,otras_frutas,Otras frutas,frutas
frutas,479,Mango Kent - Primera,otras_frutas,Otras frutas,frutas
frutas,480,Mango Manila - Primera,otras_frutas,Otras frutas,frutas
frutas,485,Mango Manililla - Primera,otras_frutas,Otras frutas,frutas
frutas,489,Mango Oro - Primera,otras_frutas,Otras frutas,frutas
frutas,494,Mango Tommy - Primera,otras_frutas,Otras frutas,frutas
frutas,529,Membrillo - Primera,otras_frutas,Otras frutas,frutas
frutas,539,Nanche - Primera,otras_frutas,Otras frutas,frutas
